Table#,Career Fest Spring 2014 Employers,Majors,Full-Time,Part-Time,Internship,Co-Op,Positions in SC,Positions in *Southeast,Nationwide Positions,Day After Fair Interviews
1,ABB Inc.,Global Supply Chain and Operations Management,x,,x,,,x,,x
2,"AFLAC (Columbia, SC Office)",All Majors,x,,,,x,,,
3,AFLAC Worldwide Headquarters,"Business, Engineering",x,,x,,x,x,,
4,Allied Air Enterprises,"Business Administration, Management, Management Science, Marketing",x,,x,,x,,,
5,American Credit Acceptance,All Majors,x,,,,x,,,
6,Amica Mutual Insurance Company,All Majors,x,,,,x,x,x,x
7,Auto-Owners Insurance Company,All Majors,x,,x,,x,x,x,
8,AXA Equitable,All Majors,x,,,,x,,,
9,Bankers Life & Casualty,All Majors,x,,x,,x,,,
10,Belk Department Stores,Business,x,,x,,x,x,,
11,Biotronic NeuroNetwork,"Biology, Chemistry, Biomedical Engineering, Biomedical Science, Sport and Exercise Science, Physical Therapy",x,,,,x,,,
12,"BMW Manufacturing Co., LLC","Business, Communications, Engineering, Computer Science",,,x,x,x,,,
13,"Bridge to Life, Ltd.",All Majors,x,x,,,x,,,
14,Canal Insurance Company,All Majors,x,,,,x,,,
15,Cellular Sales / Verizon Wireless,"Arts & Sciences, Business, HRSM, Mass Communications",x,,,,x,,,
16,Charleston County Park and Recreation Commission,"Business, Education, Mass Communication, HRTM, HRSM",,x,x,,x,,,
17,Chinese Culture Center,All Majors,x,,,,,,,
18,"C.H. Robinson Worldwide, Inc.","Business Administration, GSCOM, Management, Marketing",x,,x,,x,x,,
19,Cintas Corporation,Business,x,,,,x,,,
20,City of North Myrtle Beach,All Majors,,Summer,,,x,,,
21,City Year Columbia,All Majors,x,,,,x,x,x,
22,Colonial Life,All Majors,x,,x,,x,x,x,
23,Consolidated Electrical Distributors (CED),Business,,,x,,x,x,x,
24,CPI Security,All Majors,,,x,,,x,,
25,"Diversant, LLC",Business,x,,,,,x,,
26,Doosan Infracore Construction Equipment,Business,x,,x,,,x,,
27,Enterprise Rent-A-Car,"Business, HRSM",x,,x,,x,x,,
28,E-Z-GO (A Division of Textron),"Business, Engineering",x,,x,,,x,,
